Qty,Item/Name,Cost (CAD),Cost (USD),URL
89,Gateron Milky Yellow Switches,$29.73,$21.73,[Gateron Milky Yellow](https://www.aliexpress.com/item/1005008397216226.html?spm=a2g0o.productlist.main.1.4af4527aCgRpOF&algo_pvid=94de04ac-5425-4000-a7a4-963b4d299715&algo_exp_id=94de04ac-5425-4000-a7a4-963b4d299715-0&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2120.02%2111.73%21%21%2114.34%218.40%21%402101eede17714408069515387e56e6%2112000044854587062%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96c72ed0%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831901&curPageLogUid=QEhXruD5pt11&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008397216226%7C_p_origin_prod%3A)
89,Hotswappable Sockets (Kailh),$10.02,$7.32,Kailh Hotswappable Sockets
90,1N4148W SOD-123 Diode,$1.59,$1.16,1N4148W SOD-123 Diode
1,Rotary Encoder with switch (EC11),$1.59,$1.16,EC11 Rotary Encoder Code Switch
3,2u MX Stabilizer,$1.59,$1.16,2u & 6.25U Stabilizer
1,6.25u MX Stabilizer,$0.00,$0.00,2u & 6.25U Stabilizer
1,Keycap Set (PBT),$21.32,$15.59,PBT Keycaps
1,Raspberry Pi Pico (RP2350),$10.68,$7.81,Raspberry Pi Pico RP2350
1,USB C Socket SMD,$1.38,$1.01,USB C Socket SMD
2,5.1k 0402 SMD Resistor,$2.07,$1.51,5.1k 0402 SMD resistor
4,M2 Screw (13.9mm Max),$1.59,$1.16,M2 Screw (12 mm)
4,M2 Heatset Female Socket (OD3.2mm 3mm deep),$1.59,$1.16,M2 Heatset Insert (OD3.2mm 3mm deep)
1,PCB (JLCPCB),$29.84,$21.81,www.jlcpcb.com
1,3D Printed Case,?,? ,Printing Legion
